trio,faixa,sub_grave,grave_baixo,medio_guitarra,medio_agudo,agudo_pratos
Hendrix Experience,Purple Haze,13.230315,14.182724,4.0933447,2.0894501,0.3161943
Hendrix Experience,Voodoo Child,8.028119,6.5141454,3.0636888,1.0435803,0.10675176
Hendrix Experience,Little Wing,7.1531215,12.60607,1.8287603,0.8120893,0.3033422
Hendrix Experience,All Along Watchtower,11.335716,15.565748,3.971473,1.452155,0.65058
Cream,Sunshine of Your Love,2.3418279,11.176865,2.0260954,0.48936343,0.0886506
Cream,White Room,4.7670565,7.73756,2.2448227,0.7316166,0.31899488
Cream,Crossroads,2.3992074,11.258112,2.8100126,0.6689989,0.232977
Cream,Badge,2.935236,8.618692,1.7941593,0.3364617,0.16082451
The Police,Roxanne,6.6438985,7.722157,2.4919753,0.85811853,0.524626
The Police,Every Breath You Take,14.90367,18.071545,2.5062258,0.5599735,0.20979434
The Police,Message in a Bottle,14.121361,13.135888,4.3994026,1.3746159,0.6134565
The Police,Synchronicity II,5.0650992,7.904644,2.5368218,0.81181705,0.27528557
ZZ Top,Sharp Dressed Man,14.960472,9.744802,2.730969,1.4332556,0.43837073
ZZ Top,La Grange,3.8315456,9.104146,2.4502008,0.65181834,0.18240921
ZZ Top,Legs,26.877705,23.167816,6.4429116,2.4066987,0.70260054
ZZ Top,Gimme All Your Lovin',25.001858,13.166706,4.910542,1.8251824,0.55287075
SRV & Double Trouble,Pride and Joy,11.275278,11.943965,1.8673363,0.6783137,0.24931577
SRV & Double Trouble,Texas Flood,11.501135,12.438898,1.197092,0.80850255,0.24064936
SRV & Double Trouble,Couldn't Stand the Weather,10.420939,11.643357,1.9334586,0.70502955,0.20648792
SRV & Double Trouble,The Sky is Crying,16.308403,9.260283,2.1460915,0.6047809,0.19058274
